Machine,MatrixSize,Iteration,Threads,TimeMs,Method
AMG,200,1,1,249,Parallel
AMG,200,1,2,122,Parallel
AMG,200,1,4,73,Parallel
AMG,200,1,8,68,Parallel
AMG,200,1,16,49,Parallel
AMG,200,1,1,206,Threaded
AMG,200,1,2,116,Threaded
AMG,200,1,4,60,Threaded
AMG,200,1,8,107,Threaded
AMG,200,1,16,111,Threaded
AMG,500,1,1,2979,Parallel
AMG,500,1,2,1424,Parallel
AMG,500,1,4,743,Parallel
AMG,500,1,8,516,Parallel
AMG,500,1,16,467,Parallel
AMG,500,1,1,3112,Threaded
AMG,500,1,2,1451,Threaded
AMG,500,1,4,750,Threaded
AMG,500,1,8,517,Threaded
AMG,500,1,16,524,Threaded
AMG,1000,1,1,25894,Parallel
AMG,1000,1,2,12507,Parallel
AMG,1000,1,4,6188,Parallel
AMG,1000,1,8,4354,Parallel
AMG,1000,1,16,4196,Parallel
AMG,1000,1,1,25473,Threaded
AMG,1000,1,2,12293,Threaded
AMG,1000,1,4,6289,Threaded
AMG,1000,1,8,4302,Threaded
AMG,1000,1,16,4144,Threaded
AMG,200,2,1,155,Parallel
AMG,200,2,2,89,Parallel
AMG,200,2,4,54,Parallel
AMG,200,2,8,57,Parallel
AMG,200,2,16,49,Parallel
AMG,200,2,1,161,Threaded
AMG,200,2,2,88,Threaded
AMG,200,2,4,59,Threaded
AMG,200,2,8,62,Threaded
AMG,200,2,16,115,Threaded
AMG,500,2,1,2755,Parallel
AMG,500,2,2,1356,Parallel
AMG,500,2,4,724,Parallel
AMG,500,2,8,491,Parallel
AMG,500,2,16,429,Parallel
AMG,500,2,1,2758,Threaded
AMG,500,2,2,1367,Threaded
AMG,500,2,4,708,Threaded
AMG,500,2,8,503,Threaded
AMG,500,2,16,530,Threaded
AMG,1000,2,1,24891,Parallel
AMG,1000,2,2,12641,Parallel
AMG,1000,2,4,6338,Parallel
AMG,1000,2,8,4165,Parallel
AMG,1000,2,16,3707,Parallel
AMG,1000,2,1,24878,Threaded
AMG,1000,2,2,12723,Threaded
AMG,1000,2,4,6146,Threaded
AMG,1000,2,8,3989,Threaded
AMG,1000,2,16,3770,Threaded
AMG,200,3,1,161,Parallel
AMG,200,3,2,92,Parallel
AMG,200,3,4,51,Parallel
AMG,200,3,8,58,Parallel
AMG,200,3,16,51,Parallel
AMG,200,3,1,162,Threaded
AMG,200,3,2,94,Threaded
AMG,200,3,4,59,Threaded
AMG,200,3,8,68,Threaded
AMG,200,3,16,107,Threaded
AMG,500,3,1,2719,Parallel
AMG,500,3,2,1360,Parallel
AMG,500,3,4,690,Parallel
AMG,500,3,8,469,Parallel
AMG,500,3,16,434,Parallel
AMG,500,3,1,2706,Threaded
AMG,500,3,2,1409,Threaded
AMG,500,3,4,712,Threaded
AMG,500,3,8,504,Threaded
AMG,500,3,16,525,Threaded
AMG,1000,3,1,25614,Parallel
AMG,1000,3,2,12484,Parallel
AMG,1000,3,4,6139,Parallel
AMG,1000,3,8,3990,Parallel
AMG,1000,3,16,3719,Parallel
AMG,1000,3,1,25013,Threaded
AMG,1000,3,2,12189,Threaded
AMG,1000,3,4,6190,Threaded
AMG,1000,3,8,3960,Threaded
AMG,1000,3,16,3659,Threaded
AMG,200,4,1,155,Parallel
AMG,200,4,2,95,Parallel
AMG,200,4,4,51,Parallel
AMG,200,4,8,50,Parallel
AMG,200,4,16,47,Parallel
AMG,200,4,1,161,Threaded
AMG,200,4,2,93,Threaded
AMG,200,4,4,65,Threaded
AMG,200,4,8,66,Threaded
AMG,200,4,16,132,Threaded
AMG,500,4,1,2718,Parallel
AMG,500,4,2,1355,Parallel
AMG,500,4,4,708,Parallel
AMG,500,4,8,461,Parallel
AMG,500,4,16,437,Parallel
AMG,500,4,1,2703,Threaded
AMG,500,4,2,1359,Threaded
AMG,500,4,4,714,Threaded
AMG,500,4,8,507,Threaded
AMG,500,4,16,506,Threaded
AMG,1000,4,1,24851,Parallel
AMG,1000,4,2,12119,Parallel
AMG,1000,4,4,6154,Parallel
AMG,1000,4,8,4106,Parallel
AMG,1000,4,16,3814,Parallel
AMG,1000,4,1,25190,Threaded
AMG,1000,4,2,12177,Threaded
AMG,1000,4,4,6156,Threaded
AMG,1000,4,8,3966,Threaded
AMG,1000,4,16,3734,Threaded
AMG,200,5,1,155,Parallel
AMG,200,5,2,89,Parallel
AMG,200,5,4,52,Parallel
AMG,200,5,8,54,Parallel
AMG,200,5,16,53,Parallel
AMG,200,5,1,162,Threaded
AMG,200,5,2,91,Threaded
AMG,200,5,4,59,Threaded
AMG,200,5,8,66,Threaded
AMG,200,5,16,116,Threaded
AMG,500,5,1,2753,Parallel
AMG,500,5,2,1365,Parallel
AMG,500,5,4,715,Parallel
AMG,500,5,8,474,Parallel
AMG,500,5,16,416,Parallel
AMG,500,5,1,2758,Threaded
AMG,500,5,2,1394,Threaded
AMG,500,5,4,746,Threaded
AMG,500,5,8,496,Threaded
AMG,500,5,16,506,Threaded
AMG,1000,5,1,25486,Parallel
AMG,1000,5,2,12177,Parallel
AMG,1000,5,4,6161,Parallel
AMG,1000,5,8,4015,Parallel
AMG,1000,5,16,3760,Parallel
AMG,1000,5,1,25355,Threaded
AMG,1000,5,2,12572,Threaded
AMG,1000,5,4,6135,Threaded
AMG,1000,5,8,3947,Threaded
AMG,1000,5,16,3793,Threaded
AMG,200,6,1,159,Parallel
AMG,200,6,2,93,Parallel
AMG,200,6,4,52,Parallel
AMG,200,6,8,58,Parallel
AMG,200,6,16,54,Parallel
AMG,200,6,1,163,Threaded
AMG,200,6,2,93,Threaded
AMG,200,6,4,60,Threaded
