Machine,MatrixSize,Threads,AvgTimeMs,Method
AMG,200,1,153,Parallel
AMG,200,1,153,Threaded
AMG,200,2,76,Parallel
AMG,200,2,76,Threaded
AMG,200,4,40,Parallel
AMG,200,4,38,Threaded
AMG,200,6,27,Parallel
AMG,200,6,26,Threaded
AMG,200,8,28,Parallel
AMG,200,8,25,Threaded
AMG,200,10,25,Parallel
AMG,200,10,25,Threaded
AMG,200,12,29,Parallel
AMG,200,12,25,Threaded
AMG,200,16,28,Parallel
AMG,200,16,25,Threaded
AMG,500,1,2598,Parallel
AMG,500,1,2627,Threaded
AMG,500,2,1406,Parallel
AMG,500,2,1309,Threaded
AMG,500,4,714,Parallel
AMG,500,4,664,Threaded
AMG,500,6,475,Parallel
AMG,500,6,442,Threaded
AMG,500,8,449,Parallel
AMG,500,8,420,Threaded
AMG,500,10,438,Parallel
AMG,500,10,403,Threaded
AMG,500,12,410,Parallel
AMG,500,12,387,Threaded
AMG,500,16,401,Parallel
AMG,500,16,390,Threaded
AMG,1000,1,24431,Parallel
AMG,1000,1,25904,Threaded
AMG,1000,2,12507,Parallel
AMG,1000,2,12550,Threaded
AMG,1000,4,6215,Parallel
AMG,1000,4,6215,Threaded
AMG,1000,6,5141,Parallel
AMG,1000,6,5276,Threaded
AMG,1000,8,4567,Parallel
AMG,1000,8,4076,Threaded
AMG,1000,10,4012,Parallel
AMG,1000,10,3966,Threaded
AMG,1000,12,3744,Parallel
AMG,1000,12,3723,Threaded
AMG,1000,16,3525,Parallel
AMG,1000,16,3491,Threaded
