Machine,MatrixSize,Iteration,Threads,TimeMs,Method
EDDY,200,1,1,173,Parallel
EDDY,200,1,2,183,Parallel
EDDY,200,1,4,81,Parallel
EDDY,200,1,8,81,Parallel
EDDY,200,1,16,64,Parallel
EDDY,200,1,1,200,Threaded
EDDY,200,1,2,92,Threaded
EDDY,200,1,4,60,Threaded
EDDY,200,1,8,141,Threaded
EDDY,200,1,16,183,Threaded
EDDY,500,1,1,2128,Parallel
EDDY,500,1,2,947,Parallel
EDDY,500,1,4,563,Parallel
EDDY,500,1,8,532,Parallel
EDDY,500,1,16,501,Parallel
EDDY,500,1,1,2872,Threaded
EDDY,500,1,2,1696,Threaded
EDDY,500,1,4,960,Threaded
EDDY,500,1,8,691,Threaded
EDDY,500,1,16,894,Threaded
EDDY,1000,1,1,28136,Parallel
EDDY,1000,1,2,12750,Parallel
EDDY,1000,1,4,7596,Parallel
EDDY,1000,1,8,4537,Parallel
EDDY,1000,1,16,4361,Parallel
EDDY,1000,1,1,27241,Threaded
EDDY,1000,1,2,12694,Threaded
EDDY,1000,1,4,7770,Threaded
EDDY,1000,1,8,4741,Threaded
EDDY,1000,1,16,5561,Threaded
EDDY,200,2,1,210,Parallel
EDDY,200,2,2,129,Parallel
EDDY,200,2,4,81,Parallel
EDDY,200,2,8,157,Parallel
EDDY,200,2,16,107,Parallel
EDDY,200,2,1,130,Threaded
EDDY,200,2,2,101,Threaded
EDDY,200,2,4,172,Threaded
EDDY,200,2,8,178,Threaded
EDDY,200,2,16,337,Threaded
EDDY,500,2,1,3205,Parallel
EDDY,500,2,2,1638,Parallel
EDDY,500,2,4,831,Parallel
EDDY,500,2,8,492,Parallel
EDDY,500,2,16,494,Parallel
EDDY,500,2,1,2861,Threaded
EDDY,500,2,2,1672,Threaded
EDDY,500,2,4,975,Threaded
EDDY,500,2,8,620,Threaded
EDDY,500,2,16,866,Threaded
EDDY,1000,2,1,26121,Parallel
EDDY,1000,2,2,12578,Parallel
EDDY,1000,2,4,7338,Parallel
EDDY,1000,2,8,4377,Parallel
EDDY,1000,2,16,4961,Parallel
EDDY,1000,2,1,27726,Threaded
EDDY,1000,2,2,13638,Threaded
EDDY,1000,2,4,7563,Threaded
EDDY,1000,2,8,4414,Threaded
EDDY,1000,2,16,4961,Threaded
EDDY,200,3,1,311,Parallel
EDDY,200,3,2,122,Parallel
EDDY,200,3,4,116,Parallel
EDDY,200,3,8,187,Parallel
EDDY,200,3,16,53,Parallel
EDDY,200,3,1,229,Threaded
EDDY,200,3,2,139,Threaded
EDDY,200,3,4,189,Threaded
EDDY,200,3,8,185,Threaded
EDDY,200,3,16,333,Threaded
EDDY,500,3,1,3209,Parallel
EDDY,500,3,2,1613,Parallel
EDDY,500,3,4,1146,Parallel
EDDY,500,3,8,559,Parallel
EDDY,500,3,16,571,Parallel
EDDY,500,3,1,2405,Threaded
EDDY,500,3,2,998,Threaded
EDDY,500,3,4,551,Threaded
EDDY,500,3,8,528,Threaded
EDDY,500,3,16,643,Threaded
EDDY,1000,3,1,15681,Parallel
EDDY,1000,3,2,7631,Parallel
EDDY,1000,3,4,6315,Parallel
EDDY,1000,3,8,6199,Parallel
EDDY,1000,3,16,6139,Parallel
EDDY,1000,3,1,15708,Threaded
EDDY,1000,3,2,8043,Threaded
EDDY,1000,3,4,6277,Threaded
EDDY,1000,3,8,6745,Threaded
EDDY,1000,3,16,6228,Threaded
EDDY,200,4,1,132,Parallel
EDDY,200,4,2,102,Parallel
EDDY,200,4,4,65,Parallel
EDDY,200,4,8,98,Parallel
EDDY,200,4,16,42,Parallel
EDDY,200,4,1,131,Threaded
EDDY,200,4,2,101,Threaded
EDDY,200,4,4,64,Threaded
EDDY,200,4,8,132,Threaded
EDDY,200,4,16,166,Threaded
EDDY,500,4,1,1733,Parallel
EDDY,500,4,2,920,Parallel
EDDY,500,4,4,573,Parallel
EDDY,500,4,8,658,Parallel
EDDY,500,4,16,713,Parallel
EDDY,500,4,1,1781,Threaded
EDDY,500,4,2,951,Threaded
EDDY,500,4,4,653,Threaded
EDDY,500,4,8,775,Threaded
EDDY,500,4,16,891,Threaded
EDDY,1000,4,1,15578,Parallel
EDDY,1000,4,2,7873,Parallel
EDDY,1000,4,4,6300,Parallel
EDDY,1000,4,8,6576,Parallel
EDDY,1000,4,16,6180,Parallel
EDDY,1000,4,1,15671,Threaded
EDDY,1000,4,2,7921,Threaded
EDDY,1000,4,4,5742,Threaded
EDDY,1000,4,8,6201,Threaded
EDDY,1000,4,16,6147,Threaded
EDDY,200,5,1,116,Parallel
EDDY,200,5,2,76,Parallel
EDDY,200,5,4,60,Parallel
EDDY,200,5,8,199,Parallel
EDDY,200,5,16,38,Parallel
EDDY,200,5,1,118,Threaded
EDDY,200,5,2,68,Threaded
EDDY,200,5,4,70,Threaded
EDDY,200,5,8,150,Threaded
EDDY,200,5,16,223,Threaded
EDDY,500,5,1,1772,Parallel
EDDY,500,5,2,899,Parallel
EDDY,500,5,4,539,Parallel
EDDY,500,5,8,663,Parallel
EDDY,500,5,16,740,Parallel
EDDY,500,5,1,1775,Threaded
EDDY,500,5,2,923,Threaded
EDDY,500,5,4,650,Threaded
EDDY,500,5,8,784,Threaded
EDDY,500,5,16,979,Threaded
EDDY,1000,5,1,16205,Parallel
EDDY,1000,5,2,8258,Parallel
EDDY,1000,5,4,6235,Parallel
EDDY,1000,5,8,6631,Parallel
EDDY,1000,5,16,6311,Parallel
EDDY,1000,5,1,16038,Threaded
EDDY,1000,5,2,9112,Threaded
EDDY,1000,5,4,6338,Threaded
EDDY,1000,5,8,6200,Threaded
EDDY,1000,5,16,6226,Threaded
EDDY,200,6,1,102,Parallel
EDDY,200,6,2,97,Parallel
EDDY,200,6,4,62,Parallel
EDDY,200,6,8,80,Parallel
EDDY,200,6,16,31,Parallel
EDDY,200,6,1,127,Threaded
EDDY,200,6,2,83,Threaded
EDDY,200,6,4,83,Threaded
EDDY,200,6,8,147,Threaded
EDDY,200,6,16,220,Threaded
EDDY,500,6,1,1737,Parallel
EDDY,500,6,2,947,Parallel
EDDY,500,6,4,549,Parallel
EDDY,500,6,8,650,Parallel
EDDY,500,6,16,735,Parallel
EDDY,500,6,1,1787,Threaded
EDDY,500,6,2,902,Threaded
EDDY,500,6,4,715,Threaded
EDDY,500,6,8,817,Threaded
EDDY,500,6,16,920,Threaded
EDDY,1000,6,1,15680,Parallel
EDDY,1000,6,2,7812,Parallel
EDDY,1000,6,4,6155,Parallel
EDDY,1000,6,8,6537,Parallel
EDDY,1000,6,16,6278,Parallel
EDDY,1000,6,1,16439,Threaded
EDDY,1000,6,2,9624,Threaded
EDDY,1000,6,4,8287,Threaded
EDDY,1000,6,8,7100,Threaded
EDDY,1000,6,16,6431,Threaded
EDDY,200,7,1,290,Parallel
EDDY,200,7,2,168,Parallel
EDDY,200,7,4,120,Parallel
EDDY,200,7,8,176,Parallel
EDDY,200,7,16,83,Parallel
EDDY,200,7,1,221,Threaded
EDDY,200,7,2,158,Threaded
EDDY,200,7,4,151,Threaded
EDDY,200,7,8,173,Threaded
EDDY,200,7,16,306,Threaded
EDDY,500,7,1,2222,Parallel
EDDY,500,7,2,1265,Parallel
EDDY,500,7,4,1204,Parallel
EDDY,500,7,8,771,Parallel
EDDY,500,7,16,821,Parallel
EDDY,500,7,1,2476,Threaded
EDDY,500,7,2,1031,Threaded
EDDY,500,7,4,767,Threaded
EDDY,500,7,8,894,Threaded
EDDY,500,7,16,973,Threaded
EDDY,1000,7,1,16200,Parallel
EDDY,1000,7,2,8857,Parallel
EDDY,1000,7,4,6551,Parallel
EDDY,1000,7,8,6468,Parallel
EDDY,1000,7,16,6108,Parallel
EDDY,1000,7,1,16482,Threaded
EDDY,1000,7,2,8151,Threaded
EDDY,1000,7,4,7293,Threaded
EDDY,1000,7,8,6308,Threaded
EDDY,1000,7,16,6323,Threaded
EDDY,200,8,1,123,Parallel
EDDY,200,8,2,86,Parallel
EDDY,200,8,4,108,Parallel
EDDY,200,8,8,171,Parallel
EDDY,200,8,16,61,Parallel
EDDY,200,8,1,151,Threaded
EDDY,200,8,2,136,Threaded
EDDY,200,8,4,97,Threaded
EDDY,200,8,8,130,Threaded
EDDY,200,8,16,245,Threaded
EDDY,500,8,1,1852,Parallel
EDDY,500,8,2,860,Parallel
EDDY,500,8,4,621,Parallel
EDDY,500,8,8,655,Parallel
EDDY,500,8,16,720,Parallel
EDDY,500,8,1,2023,Threaded
EDDY,500,8,2,915,Threaded
EDDY,500,8,4,654,Threaded
EDDY,500,8,8,771,Threaded
EDDY,500,8,16,879,Threaded
EDDY,1000,8,1,16370,Parallel
EDDY,1000,8,2,8094,Parallel
EDDY,1000,8,4,7609,Parallel
EDDY,1000,8,8,6415,Parallel
EDDY,1000,8,16,6142,Parallel
EDDY,1000,8,1,15943,Threaded
EDDY,1000,8,2,8463,Threaded
EDDY,1000,8,4,7425,Threaded
EDDY,1000,8,8,6304,Threaded
EDDY,1000,8,16,6077,Threaded
EDDY,200,9,1,127,Parallel
EDDY,200,9,2,71,Parallel
EDDY,200,9,4,98,Parallel
EDDY,200,9,8,99,Parallel
EDDY,200,9,16,67,Parallel
EDDY,200,9,1,128,Threaded
EDDY,200,9,2,72,Threaded
EDDY,200,9,4,90,Threaded
EDDY,200,9,8,115,Threaded
EDDY,200,9,16,158,Threaded
EDDY,500,9,1,1732,Parallel
EDDY,500,9,2,891,Parallel
EDDY,500,9,4,610,Parallel
EDDY,500,9,8,647,Parallel
EDDY,500,9,16,706,Parallel
EDDY,500,9,1,1752,Threaded
EDDY,500,9,2,1002,Threaded
EDDY,500,9,4,814,Threaded
EDDY,500,9,8,791,Threaded
EDDY,500,9,16,933,Threaded
EDDY,1000,9,1,16636,Parallel
EDDY,1000,9,2,7828,Parallel
EDDY,1000,9,4,7627,Parallel
EDDY,1000,9,8,6635,Parallel
EDDY,1000,9,16,6103,Parallel
EDDY,1000,9,1,15756,Threaded
EDDY,1000,9,2,8838,Threaded
EDDY,1000,9,4,6863,Threaded
EDDY,1000,9,8,6220,Threaded
EDDY,1000,9,16,6091,Threaded
EDDY,200,10,1,144,Parallel
EDDY,200,10,2,97,Parallel
EDDY,200,10,4,96,Parallel
EDDY,200,10,8,72,Parallel
EDDY,200,10,16,40,Parallel
EDDY,200,10,1,142,Threaded
EDDY,200,10,2,77,Threaded
EDDY,200,10,4,74,Threaded
EDDY,200,10,8,99,Threaded
EDDY,200,10,16,214,Threaded
EDDY,500,10,1,1928,Parallel
EDDY,500,10,2,995,Parallel
EDDY,500,10,4,710,Parallel
EDDY,500,10,8,668,Parallel
EDDY,500,10,16,759,Parallel
EDDY,500,10,1,2010,Threaded
EDDY,500,10,2,1074,Threaded
EDDY,500,10,4,815,Threaded
EDDY,500,10,8,755,Threaded
EDDY,500,10,16,887,Threaded
EDDY,1000,10,1,15654,Parallel
EDDY,1000,10,2,8533,Parallel
EDDY,1000,10,4,7445,Parallel
EDDY,1000,10,8,6313,Parallel
EDDY,1000,10,16,6142,Parallel
EDDY,1000,10,1,16020,Threaded
EDDY,1000,10,2,7988,Threaded
EDDY,1000,10,4,6295,Threaded
EDDY,1000,10,8,6664,Threaded
EDDY,1000,10,16,6368,Threaded
