Machine,MatrixSize,Threads,AvgTimeMs,Method
EDDY,200,1,98,Parallel
EDDY,200,1,99,Threaded
EDDY,200,2,97,Parallel
EDDY,200,2,86,Threaded
EDDY,200,4,57,Parallel
EDDY,200,4,52,Threaded
EDDY,200,6,34,Parallel
EDDY,200,6,32,Threaded
EDDY,200,8,28,Parallel
EDDY,200,8,28,Threaded
EDDY,200,10,34,Parallel
EDDY,200,10,28,Threaded
EDDY,200,12,34,Parallel
EDDY,200,12,37,Threaded
EDDY,200,16,30,Parallel
EDDY,200,16,28,Threaded
EDDY,500,1,2438,Parallel
EDDY,500,1,2661,Threaded
EDDY,500,2,1647,Parallel
EDDY,500,2,1643,Threaded
EDDY,500,4,844,Parallel
EDDY,500,4,790,Threaded
EDDY,500,6,554,Parallel
EDDY,500,6,523,Threaded
EDDY,500,8,654,Parallel
EDDY,500,8,645,Threaded
EDDY,500,10,682,Parallel
EDDY,500,10,648,Threaded
EDDY,500,12,695,Parallel
EDDY,500,12,648,Threaded
EDDY,500,16,673,Parallel
EDDY,500,16,657,Threaded
EDDY,1000,1,22342,Parallel
EDDY,1000,1,23090,Threaded
EDDY,1000,2,13081,Parallel
EDDY,1000,2,13102,Threaded
EDDY,1000,4,6828,Parallel
EDDY,1000,4,7048,Threaded
EDDY,1000,6,6040,Parallel
EDDY,1000,6,5924,Threaded
EDDY,1000,8,5858,Parallel
EDDY,1000,8,5760,Threaded
EDDY,1000,10,5993,Parallel
EDDY,1000,10,5851,Threaded
EDDY,1000,12,6005,Parallel
EDDY,1000,12,5801,Threaded
EDDY,1000,16,6009,Parallel
EDDY,1000,16,5828,Threaded
